id,observed_on,month,user_id,user_login,created_at,quality_grade,license,url,description,place_guess,latitude,longitude,coordinates_obscured,place_county_name,species_guess,scientific_name,state
20636,6/7/2011,6,1,kueda,2011-06-08 05:04:18 UTC,research,CC0,http://www.inaturalist.org/observations/20636,,"Bluff Point State Park, CT, USA",41.319747,-72.049228,FALSE,New London,American dog tick,Dermacentor variabilis,Connecticut
41227,12/5/2011,12,2179,charlie,2011-12-05 21:53:42 UTC,research,CC0,http://www.inaturalist.org/observations/41227,In DECEMBER!  Not fair!,"445 S Street Ext, Middlebury, VT  05753, , United States",44.01722336,-73.15137482,FALSE,Addison,Blacklegged Tick,Ixodes scapularis,Vermont
1182988,5/5/2013,5,69447,kellyfuerstenberg,2015-01-19 03:03:24 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1182988,One that I missed. I am pretty good at finding them when they're small. No idea what possessed me to photograph it...,"Meriden, CT",41.51248,-72.812525,FALSE,New Haven,American Dog Tick,Dermacentor variabilis,Connecticut
3187779,5/14/2016,5,53860,berkshirenaturalist,2016-05-16 15:58:05 UTC,research,CC-BY-NC-ND,http://www.inaturalist.org/observations/3187779,,"Hammonasset Natural Area Preserve, Madison, New Haven County, Connecticut, US",41.254153,-72.54255,FALSE,New Haven,American Dog Tick,Dermacentor variabilis,Connecticut
3187812,5/14/2016,5,53860,berkshirenaturalist,2016-05-16 16:03:49 UTC,research,CC-BY-NC-ND,http://www.inaturalist.org/observations/3187812,,"Hammonasset Natural Area Preserve, Madison, New Haven County, Connecticut, US",41.254153,-72.54255,FALSE,New Haven,American Dog Tick,Dermacentor variabilis,Connecticut
3379350,6/4/2016,6,2179,charlie,2016-06-04 17:53:39 UTC,research,CC0,http://www.inaturalist.org/observations/3379350,,"337 E River Dr, East Hartford, CT, US",41.7581023,-72.655378,FALSE,Hartford,American Dog Tick,Dermacentor variabilis,Connecticut
3399725,6/4/2016,6,15723,reallifeecology,2016-06-07 05:30:06 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/3399725,,two rivers magnet school,41.757335,-72.655041,FALSE,Hartford,American Dog Tick,Dermacentor variabilis,Connecticut
41228,12/5/2011,12,2179,charlie,2011-12-05 21:53:44 UTC,research,CC0,http://www.inaturalist.org/observations/41228,:(,"459 S Street Ext, Middlebury, VT  05753, , United States",44.01682663,-73.15109253,FALSE,Addison,Blacklegged Tick,Ixodes scapularis,Vermont
41232,12/5/2011,12,2179,charlie,2011-12-05 21:55:00 UTC,research,CC0,http://www.inaturalist.org/observations/41232,Red abdomen. Hard to say exactly where it jumped on me but probably in this right-of-way,"679 Seminary Street Ext, Middlebury, VT  05753, , United States",44.01624358,-73.14976215,FALSE,Addison,blacklegged tick (Ixodes scapularis),Ixodes scapularis,Vermont
75502,5/6/2012,5,2179,charlie,2012-05-06 21:27:09 UTC,research,CC0,http://www.inaturalist.org/observations/75502,:(,"Addison County, US-VT, US",44.11659385,-73.19123142,TRUE,Addison,Black-legged tick (Ixodes scapularis),Ixodes scapularis,Vermont
