number,name,feed,top_Photo,down_Photo,Date,Sex,Stage
82251,Ixodesscapularis,PartiallyFed,82251top,82251down,OrderDate6/19/20@09:09AMEDT,female,adult
82252,Amblyommaamericanum,PartiallyFed,82252top,82252down,OrderDate6/19/20@09:10AMEDT,unknown,nymph
82253,Ixodesscapularis,PartiallyFed,82253top,82253down,OrderDate6/19/20@09:18AMEDT,unknown,nymph
82254,Ixodesscapularis,PartiallyFed,82254top,82254down,OrderDate6/19/20@09:22AMEDT,unknown,nymph
82255,Ixodesscapularis,PartiallyFed,82255top,82255down,OrderDate6/19/20@09:22AMEDT,unknown,nymph
82256,Ixodesscapularis,PartiallyFed,82256top,82256down,OrderDate6/19/20@09:22AMEDT,unknown,nymph
82257,Amblyommaamericanum,PartiallyFed,82257top,82257down,OrderDate6/19/20@09:28AMEDT,unknown,nymph
82259,Amblyommaamericanum,PartiallyFed,82259top,82259down,OrderDate6/19/20@09:32AMEDT,female,adult
82260,Amblyommaamericanum,PartiallyFed,82260top,82260down,OrderDate6/19/20@09:41AMEDT,unknown,nymph
82261,Amblyommaamericanum,PartiallyFed,82261top,82261down,OrderDate6/19/20@09:41AMEDT,unknown,nymph
82262,Amblyommaamericanum,PartiallyFed,82262top,82262down,OrderDate6/19/20@09:41AMEDT,male,adult
82263,Ixodespacificus,PartiallyFed,82263top,82263down,OrderDate6/19/20@09:44AMEDT,female,adult
82264,Ixodesscapularis,PartiallyFed,82264top,82264down,OrderDate6/19/20@09:51AMEDT,unknown,nymph
82265,Ixodesscapularis,PartiallyFed,82265top,82265down,OrderDate6/19/20@09:56AMEDT,unknown,nymph
82266,Ixodesscapularis,PartiallyFed,82266top,82266down,OrderDate6/19/20@10:03AMEDT,unknown,nymph
82267,Dermacentorvariabilis,PartiallyFed,82267top,82267down,OrderDate6/19/20@10:05AMEDT,female,adult
82268,Amblyommaamericanum,PartiallyFed,82268top,82268down,OrderDate6/19/20@10:10AMEDT,unknown,nymph
82269,Ixodesscapularis,PartiallyFed,82269top,82269down,OrderDate6/19/20@10:16AMEDT,unknown,nymph
82270,Amblyommaamericanum,PartiallyFed,82270top,82270down,OrderDate6/19/20@10:17AMEDT,unknown,nymph
82272,Ixodesscapularis,PartiallyFed,82272top,82272down,OrderDate6/19/20@10:21AMEDT,unknown,nymph
82274,Dermacentorvariabilis,PartiallyFed,82274top,82274down,OrderDate6/19/20@10:29AMEDT,unknown,nymph
82275,Amblyommaamericanum,PartiallyFed,82275top,82275down,OrderDate6/19/20@10:30AMEDT,female,adult
82276,Ixodesscapularis,PartiallyFed,82276top,82276down,OrderDate6/19/20@10:37AMEDT,unknown,nymph
82277,Amblyommaamericanum,PartiallyFed,82277top,82277down,OrderDate6/19/20@10:43AMEDT,unknown,nymph
82278,Ixodesscapularis,PartiallyFed,82278top,82278down,OrderDate6/19/20@10:44AMEDT,unknown,nymph
82279,Amblyommaamericanum,PartiallyFed,82279top,82279down,OrderDate6/19/20@10:47AMEDT,unknown,nymph
82280,Dermacentorvariabilis,PartiallyFed,82280top,82280down,OrderDate6/19/20@10:48AMEDT,female,adult
82281,Dermacentorvariabilis,PartiallyFed,82281top,82281down,OrderDate6/19/20@10:48AMEDT,male,adult
82282,Dermacentorvariabilis,PartiallyFed,82282top,82282down,OrderDate6/19/20@10:54AMEDT,female,adult
82283,Amblyommaamericanum,PartiallyFed,82283top,82283down,OrderDate6/19/20@10:54AMEDT,male,adult
82284,Dermacentorvariabilis,PartiallyFed,82284top,82284down,OrderDate6/19/20@10:54AMEDT,male,adult
82285,Dermacentorvariabilis,PartiallyFed,82285top,82285down,OrderDate6/19/20@10:57AMEDT,female,adult
82286,Dermacentorvariabilis,PartiallyFed,82286top,82286down,OrderDate6/19/20@10:57AMEDT,female,adult
82287,Amblyommaamericanum,PartiallyFed,82287top,82287down,OrderDate6/19/20@10:58AMEDT,unknown,nymph
82288,Dermacentorandersoni,PartiallyFed,82288top,82288down,OrderDate6/19/20@10:59AMEDT,female,adult
82289,Dermacentorvariabilis,PartiallyFed,82289top,82289down,OrderDate6/19/20@11:04AMEDT,female,adult
82290,Dermacentorvariabilis,PartiallyFed,82290top,82290down,OrderDate6/19/20@11:06AMEDT,female,adult
82291,Ixodesscapularis,PartiallyFed,82291top,82291down,OrderDate6/19/20@11:12AMEDT,unknown,nymph
82292,Ixodesscapularis,PartiallyFed,82292top,82292down,OrderDate6/19/20@11:13AMEDT,unknown,nymph
82293,Ixodesscapularis,PartiallyFed,82293top,82293down,OrderDate6/19/20@11:14AMEDT,unknown,nymph
82294,Amblyommaamericanum,PartiallyFed,82294top,82294down,OrderDate6/19/20@11:19AMEDT,unknown,nymph
82295,Ixodespacificus,PartiallyFed,82295top,82295down,OrderDate6/19/20@11:20AMEDT,female,adult
